name,token,protocol_tvl,pool_tvl,network,address
"Staked EURA","EURA","4105228","4105228","mainnet","0x004626A008B1aCdC4c74ab51644093b155e59A23"
"Aave v3 DAI","DAI","164775989","164775989","mainnet","0x018008bfb33d285247A21d44E50697654f754e63"
"Aave v2 DAI","DAI","23160096","23160096","mainnet","0x028171bCA77440897B824Ca71D1c56caC55b68A3"
"DAI-1 yVault","DAI","2953755","2953755","mainnet","0x028eC7330ff87667b6dfb0D94b954c820195336c"
"Aave v2 WETH","WETH","156696628","156696628","mainnet","0x030bA81f1c18d280636F32af80b9AAd02Cf0854e"
"Compound v2 USDP","USDP","221206","221206","mainnet","0x041171993284df560249B57358F931D9eB7b925D"
"Gearbox ETH v3","WETH","715345","715345","arbitrum","0x04419d3509f13054f60d253E0c79491d9E683399"
"Yearn yPT-weETH Yearn Auto-Rolling Pendle PT","weETH","260892","260892","arbitrum","0x044E75fCbF7BD3f8f4577FF317554e9c0037F145"
"mkUSD yVault-A","mkUSD","99124","99124","mainnet","0x04AeBe2e4301CdF5E9c57B01eBdfe4Ac4B48DD13"
"Convex Curve Lending USDe/crvUSD","crvUSD","1448635","1448635","mainnet","0x04f08cAA46a9ADD56dd639709e124aC6F5046f0d"
"Sturdy crvUSD Compounder","crvUSD","257773","257773","mainnet","0x05329AAb081B125eEF7FbbC8b857428D478E692B"
"Euler Prime cbBTC","cbBTC","7554810","7554810","mainnet","0x056f3a2E41d2778D3a0c0714439c53af2987718E"
"Ajna Pool MKR/DAI","DAI","13338","13338","mainnet","0x0598c1FeDa47535FF5248E2Bd08703ACE4E740C4"
"Gearbox USDT v3","USDT","6543220","6543220","mainnet","0x05A811275fE9b4DE503B3311F51edF6A856D936e"
"Stakin - 0% Fee StakeWise V3","ETH","1130313","1130313","mainnet","0x05E393ec11D0197a88D84457908EDD4FF235f323"
"Sturdy PxETH/yearn curve StETH-PxETH LP silo","pxETH","2099976","2099976","mainnet","0x0669091F451142b3228171aE6aD794cF98288124"
"Big Euler's e-Stake StakeWise V3","ETH","114559","114559","mainnet","0x06Ec2d731b2fa8895E5a9482C22eE33573f44A13"
"yearn-V3-Stargate-DAI","DAI","7381","7381","polygon","0x06eD7C67755344548FAFe1822bEE365C4208a57F"
"Aave v3 WBTC","WBTC","40226016","40226016","optimism","0x078f358208685046a11C85e8ad32895DED33A249"
"Aave v3 WBTC","WBTC","296824111","296824111","arbitrum","0x078f358208685046a11C85e8ad32895DED33A249"
"Aave v3 WBTC","WBTC","139387660","139387660","polygon","0x078f358208685046a11C85e8ad32895DED33A249"
"EVK Vault eUSDS-3","USDS","243158","243158","mainnet","0x07F9A54Dc5135B9878d6745E267625BF0E206840"
"validator service StakeWise V3","ETH","994614","994614","mainnet","0x089A97A8bC0C0F016f89F9CF42181Ff06afB2Daf"
"Ether.Fi Liquid USD","USDC","28445954","28445954","mainnet","0x08c6F91e2B681FaF5e17227F2a44C307b3C1364C"
"Notional Prime DAI","DAI","39176","39176","arbitrum","0x0Ace2DC3995aCD739aE5e0599E71A5524b93b886"
"Aave v3 pyUSD","PYUSD","11219440","11219440","mainnet","0x0C0d01AbF3e6aDfcA0989eBbA9d6e85dD58EaB1E"
"Yearn yPT-ezETH Yearn Auto-Rolling Pendle PT","ezETH","28572","28572","arbitrum","0x0F2ae7531A83982F15ff1D26B165E2bF3D7566da"
"Relend USDC","USDC","22128638","22128638","mainnet","0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a"
"Pyth USDC","USDC","729696","729696","base","0x0FaBfEAcedf47e890c50C8120177fff69C6a1d9B"
"Aave v3 USDbC","USDbC","1217859","1217859","base","0x0a1d576f3eFeF75b330424287a95A366e8281D54"
"Illus Capital StakeWise V3","ETH","437965","437965","mainnet","0x0aF0a2671Bb19D4be5D6c6899EC712341E472D4B"
"Sturdy GHO/yearn curve GHO-crvUSD LP silo","GHO","13013","13013","mainnet","0x0b8C80fd9CaC5570Ff829416f0aFCE7aF6F3C6f8"
"Hop ETH","WETH","1951044","1951044","base","0x0ce6c85cF43553DE10FC56cecA0aef6Ff0DD444d"
"USDT CompoundV3 Lender","USDT","293352","293352","polygon","0x0fEFEe13864c431717f5B2678607b6ce532a170C"
"Aave v2 TUSD","TUSD","476679","476679","mainnet","0x101cc05f4A51C0319f570d5E146a8C625198e636"
"Hop USDC.e","USDC","220417","220417","arbitrum","0x10541b07d8Ad2647Dc6cD67abd4c03575dade261"
"Stargate USDC","USDC","6880030","6880030","polygon","0x1205f31718499dBf1fCa446663B532Ef87481fe1"
"Compound v2 TUSD","TUSD","223356","223356","mainnet","0x12392F67bdf24faE0AF363c24aC620a2f67DAd86"
"Gauntlet USDA Core","USDA","264110","264110","mainnet","0x125D41A6e5dbf455cD9Df8F80BCC6fd172D52Cc6"
"MEV Capital Elixir USDC","USDC","1137307","1137307","mainnet","0x1265a81d42d513Df40d0031f8f2e1346954d665a"
"Re7 USDC","USDC","5181994","5181994","base","0x12AFDeFb2237a5963e7BAb3e2D46ad0eee70406e"
"Yearn v3 Aave v3 WMATIC","WMATIC","134319","134319","polygon","0x12c3Ad898e8eB1C0ec0Bb74f9748F36C46593F68"
"Seamless USDbC","USDbC","250076","250076","base","0x13A13869B814Be8F13B86e9875aB51bda882E391"
"ajna-yfi-dai3","DAI","56981","56981","mainnet","0x18164fAF05393a08Fdfb23762A922dD670D3bBAE"
"Yearn USDS","USDS","5890881","5890881","mainnet","0x182863131F9a4630fF9E27830d945B1413e347E8"
"Flagship USDC","USDC","182890","182890","mainnet","0x186514400e52270cef3D80e1c6F8d10A75d47344"
"Hop USDT","USDT","287455","287455","arbitrum","0x18f7402B673Ba6Fb5EA4B95768aABb8aaD7ef18a"
"EVK Vault ewstETH-6","wstETH","1069","1069","mainnet","0x1926f5Bb9ed68BA83255fB219828a90Bd9F40771"
"Fluid EURC","EURC","1851920","1851920","base","0x1943FA26360f038230442525Cf1B9125b5DCB401"
"Maker DSR (sDAI)","DAI","1017987272","1017987272","mainnet","0x197E90f9FAD81970bA7976f33CbD77088E5D7cf7"
"EVK Vault eEURC-1","EURC","127442","127442","mainnet","0x1987c2DCf5674Cf90bEceBAd502714c357ce126a"
"Fluid USD Coin","USDC","7867743","7867743","arbitrum","0x1A996cb54bb95462040408C06122D45D6Cdb6096"
"Ondo OUSG","USDC","151581335","151581335","mainnet","0x1B19C19393e2d034D8Ff31ff34c81252FcBbee92"
"Allnodes StakeWise V3","ETH","793118","793118","mainnet","0x1B3CE55dDE0e0D4b9A200855406e7b14334C10B0"
"Gauntlet AUSD Core","AUSD","1038783","1038783","mainnet","0x1B4cd53a1A8e5F50aB6320EF34E5fB4D3df7B6f6"
"yPT-rswETH-L2 (auto-rolling Pendle PT)","rswETH","5106","5106","mainnet","0x1D06Ce81d7c4a42e60040C5664595fB6B87D86b5"
"Yearn yPT-rsETH Yearn Auto-Rolling Pendle PT","rsETH","268856","268856","arbitrum","0x1Dd930ADD968ff5913C3627dAA1e6e6FCC9dc544"
"Ajna Pool apxETH/WETH","WETH","34132","34132","mainnet","0x1EeA11C09eB446261739bBd1315992C3632960DF"
"Aave v2 USDC","USDC","4681606","4681606","polygon","0x1a13F4Ca1d028320A707D99520AbFefca3998b7F"
"stkGHO","GHO","103217315","103217315","mainnet","0x1a88Df1cFe15Af22B3c4c783D4e6F7F9e0C1885d"
"Ajna Pool mwstETH-WPUNKS:20/wstETH","wstETH","154965","154965","mainnet","0x1b3cA2A7B12859FE34CefD7072D770fB6a1e7679"
"Yearn USDC.e CompoundV3 Lender","USDC","6858","6858","arbitrum","0x1bd173F9a1186A1AbE680071E0F57d4D83c18430"
"Gauntlet EURC Core","EURC","272221","272221","base","0x1c155be6bC51F2c37d472d4C2Eba7a637806e122"
"MEV Capital WBTC","WBTC","8007115","8007115","mainnet","0x1c530D6de70c05A81bF1670157b9d928e9699089"
"EVK Vault esUSDS-3","sUSDS","2352696","2352696","mainnet","0x1e548CfcE5FCF17247E024eF06d32A01841fF404"
"Convex Curve Lending tBTC/crvUSD","crvUSD","471762","471762","mainnet","0x1eA38C04A6b2AcAe0690e603cf9Da15bCEe84aF7"
"Spark DAI Lender","DAI","106133","106133","mainnet","0x1fd862499e9b9402DE6c599b6C391f83981180Ab"
"Notional Prime FRAX","FRAX","24406","24406","arbitrum","0x1fd865a55eaf5333e6374Fb3Ad66D22e9885d3Aa"
"Sturdy crvUSD/yean curve mkUSD-crvUSD LP silo","crvUSD","33982","33982","mainnet","0x200723063111f9f8f1d44c0F30afAdf0C0b1a04b"
"USDT CompoundV3 Lender","USDT","652901","652901","mainnet","0x206db0A0Af10Bec57784045e089A418771D20227"
"USD+","USDC","135246","135246","polygon","0x236eeC6359fb44CCe8f97E99387aa7F8cd5cdE1f"
"Gauntlet WETH Prime","WETH","190256055","190256055","mainnet","0x2371e134e3455e0593363cBF89d3b6cf53740618"
"Aave v3 USDT","USDT","3044380084","3044380084","mainnet","0x23878914EFE38d27C4D67Ab83ed1b93A74D4086a"
"Compound V3 WETH Lender","WETH","4557","4557","mainnet","0x23eE3D14F09946A084350CC6A7153fc6eb918817"
"Fluid Wrapped liquid staked Ether 2.0","wstETH","13228362","13228362","mainnet","0x2411802D8BEA09be0aF8fD8D08314a63e706b29C"
"mevETH","WETH","340846","340846","mainnet","0x24Ae2dA0f361AA4BE46b48EB19C91e02c5e4f27E"
"Coinflakes Vault v2.0","DAI","172218","172218","mainnet","0x254bd33E2f62713F893F0842C99E68f855cDa315"
"Seamless ILM 3x Loop wstETH/ETH","wstETH","333652","333652","base","0x258730e23cF2f25887Cb962d32Bd10b878ea8a4e"
"EVK Vault eLINK-1","LINK","1451","1451","mainnet","0x25C538cc5c5B4cDdf9a9A656f90d2d8129E841B2"
"Prime Coinbase Wrapped Staked ETH","cbETH","1824","1824","mainnet","0x265329C8F15671d7cA501710e3bD0E6CB257948F"
"Hop ETH","WETH","1180724","1180724","polygon","0x266e2dc3C4c59E42AA07afeE5B09E964cFFe6778"
"Sturdy crvUSD/yean curve USDT-crvUSD LP silo","crvUSD","458566","458566","mainnet","0x26fe402A57D52c8a323bb6e09f06489C8216aC88"
"Aave v2 DAI","DAI","5535383","5535383","polygon","0x27F8D03b3a2196956ED754baDc28D73be8830A6e"
"Aave v2 WETH","WETH","23446836","23446836","polygon","0x28424507fefb6f7f8E9D3860F56504E4e5f5f390"
"Yearn v3 WMATIC-A","WMATIC","85758","85758","polygon","0x28F53bA70E5c8ce8D03b1FaD41E9dF11Bb646c36"
"EVK Vault eUSDS-4","USDS","1047","1047","mainnet","0x28c6F8D44179ac93a5EBAe24189d887eeEF38cea"
"Stargate ETH","ETH","2886465","2886465","base","0x28fc411f9e1c480AD312b3d9C60c22b965015c6B"
"Ajna Pool VERSE/USDC","USDC","1000","1000","mainnet","0x29314616D272d8bF288CAAc34316DC79516E6Bd5"
"Prime Arbitrum tBTC v2","tBTC","12559","12559","arbitrum","0x2935f6cFBb8e8846862A813936bc515A44495385"
"EVK Vault ecbBTC-4","cbBTC","1093396","1093396","mainnet","0x29A9E5A004002Ff9E960bb8BB536E076F53cbDF1"
"Stargate USDT","USDT","3186100","3186100","polygon","0x29e38769f23701A2e4A8Ef0492e19dA4604Be62c"
"StakeWise osETH","ETH","154251384","154251384","mainnet","0x2A261e60FB14586B474C208b1B7AC6D0f5000306"
"Flagship USDT","USDT","4206778","4206778","mainnet","0x2C25f6C25770fFEC5959D34B94Bf898865e5D6b1"
"Sommelier aggregator","WETH","1033","1033","mainnet","0x2Ca52C78d7932e285f2eA5928Fb7251baEC3f166"
"Ajna Pool USDC/WETH","WETH","8017","8017","mainnet","0x2Ceb74Bb7a92D652C850C16F48547aa49F8bca31"
"yPT-ENA (auto-rolling Pendle PT)","ENA","62688","62688","mainnet","0x2F2BBc50DB252eeADD2c9B9197beb6e5Aef87e48"
"Seamless ILM 1.5x Loop ETH/USDC","WETH","371032","371032","base","0x2FB1bEa0a63F77eFa77619B903B2830b52eE78f4"
"Cryptoknight Vault StakeWise V3","ETH","125661","125661","mainnet","0x2a14B47E551288F3F5e35842970cc2bc78Ceb47d"
"Yearn v3 CompV3 WMATIC","WMATIC","71500","71500","polygon","0x2a42A69F48EfffDF2d4Fb079Af60D98D3e34D49C"
"Seamless cbETH","cbETH","851892","851892","base","0x2c159A183d9056E29649Ce7E56E59cA833D32624"
"Convex Curve Lending sFRAX/crvUSD","crvUSD","233194","233194","mainnet","0x2c2de79df4bb810497943328f7288375d6344800"
"VincentTaglia.eth StakeWise V3","ETH","216707","216707","mainnet","0x2ca762ed936e48c23B8a32403dD754020b07E86f"
"Convex Curve Lending sDOLA/crvUSD","crvUSD","2396323","2396323","mainnet","0x2d777290Ab033DEAEc3cd95526eD45C626245F80"
"Compound v3 USDC","USDC","6785366","6785366","optimism","0x2e44e174f7D53F0212823acC11C01A11d58c5bCB"
"Yearn-Silo USDC.e Vault","USDC","1500","1500","arbitrum","0x2e48847FE29C3883c98125Cb2C44244d6602d549"
"Aave v2 USDP","USDP","180819","180819","mainnet","0x2e8F4bdbE3d47d7d7DE490437AeA9915D930F1A3"
"Pendle WBTC","WBTC","9085645","9085645","mainnet","0x2f1aBb81ed86Be95bcf8178bA62C8e72D6834775"
"Ajna Pool AJNA/DAI","DAI","10980","10980","mainnet","0x2fEeF99A711D684E00a017C4AC587bea31F12875"
"Swiss Liquid Staking StakeWise V3","ETH","162343","162343","mainnet","0x302be829c61C287787030888bBCF11115ECd5773"
"Ajna Pool st-yETH/DAI","DAI","5569","5569","mainnet","0x304375E4890146DC575B894b35a42608FaB823a8"
"Yearn v3 WETH-A","WETH","117483","117483","polygon","0x305F25377d0a39091e99B975558b1bdfC3975654"
"Morpho MAI","MAI","143346","143346","base","0x30B8A2c8E7Fa41e77b54b8FaF45c610e7aD909E3"
"Simply Staking: Premium StakeWise V3","ETH","115723","115723","mainnet","0x30c13E93C170885e9969Ae2E4fF5f020807E0d74"
"BRAZILPRACIMA StakeWise V3","ETH","216264","216264","mainnet","0x3102B4013cB506481e959c8F4500B994D2bFF22e"
"USDT-1 yVault","USDT","6490686","6490686","mainnet","0x310B7Ea7475A0B449Cfd73bE81522F1B88eFAFaa"
"EVK Vault eUSDT-2","USDT","337513","337513","mainnet","0x313603FA690301b0CaeEf8069c065862f9162162"
"Fraxlend FRAX (WBTC collateral)","FRAX","2620812","2620812","mainnet","0x32467a5fc2d72D21E8DCe990906547A2b012f382"
"Yearn yPT-USDe Yearn Auto-Rolling Pendle PT","USDe","110747","110747","arbitrum","0x34a2b066AF16409648eF15d239E656edB8790ca0"
"USDC-1 yVault","USDC","424243","424243","polygon","0x34b9421Fe3d52191B64bC32ec1aB764dcBcDbF5e"
"Ajna Pool sUSDe/DAI","DAI","177218","177218","mainnet","0x34bC3D3d274A355f3404c5dEe2a96335540234de"
"rSWELL","SWELL","6593578","6593578","mainnet","0x358d94b5b2F147D741088803d932Acb566acB7B6"
"ether.fi eETH","ETH","7400948778","7400948778","mainnet","0x35fA164735182de50811E8e2E824cFb9B6118ac2"
"A41 StakeWise V3","ETH","110715","110715","mainnet","0x366e7f2e3462e31001560875B9877a0714e90d9c"
"Spark USDC","USDC","1330813","1330813","mainnet","0x377C3bd93f2a2984E1E7bE6A5C22c525eD4A4815"
"Yearn v2 LUSD","LUSD","27080","27080","mainnet","0x378cb52b00F9D0921cb46dFc099CFf73b42419dC"
"Seamless DAI","DAI","35612","35612","base","0x37eF72fAC21904EDd7e69f7c7AC98172849efF8e"
"USDe-2 yVault","USDe","1798","1798","mainnet","0x381E0BE61b3AEB1F321C4775046e6F57BC84c804"
"Flagship ETH","WETH","7612397","7612397","mainnet","0x38989BBA00BDF8181F4082995b3DEAe96163aC5D"
"Aave v3 USDC","USDC","38916547","38916547","optimism","0x38d693cE1dF5AaDF7bC62595A37D667aD57922e5"
"Arcadia WETH","WETH","2958747","2958747","base","0x393893caeB06B5C16728bb1E354b6c36942b1382"
"Notional Prime rETH","rETH","15999","15999","mainnet","0x39A1f8e5D2422CCc5e08c5B4019Ab70147f5cC95"
"Compound v2 USDC","USDC","36388101","36388101","mainnet","0x39AA39c021dfbaE8faC545936693aC917d5E7563"
"AaveV3 ARB Lender","ARB","5711","5711","arbitrum","0x39Ce72aCE7722fe38A4AfF02bfbe7789B58c6905"
"EVK Vault eUSR-1","USR","16741604","16741604","mainnet","0x3A8992754E2EF51D8F90620d2766278af5C59b90"
"Compound v3 USDT","USDT","121492897","121492897","mainnet","0x3Afdc9BCA9213A35503b077a6072F3D0d5AB0840"
"Yearn v2 USDT","USDT","6345364","6345364","mainnet","0x3B27F92C0e212C671EA351827EDF93DB27cc0c65"
"Ajna Pool wstETH/WETH","WETH","57248","57248","mainnet","0x3BA6A019eD5541b5F5555d8593080042Cf3ae5f4"
"Ajna Pool WBTC/USDC","USDC","26255","26255","mainnet","0x3BB7C1E268A51b2D933C0490e282e20b906f8652"
"Compound v3 wstETH","wstETH","23658335","23658335","mainnet","0x3D0bb1ccaB520A66e607822fC55BC921738fAFE3"
"Aave v2 USDT","USDT","69143480","69143480","mainnet","0x3Ed3B47Dd13EC9a98b44e6204A523E766B225811"
"Meria - 100% MEV Free StakeWise V3","ETH","76688","76688","mainnet","0x3F2f7424074bac9337DDCA38E83e1518436e0ED0"
"AaveV3 USDT Lender","USDT","911785","911785","polygon","0x3bd8C987286D8Ad00c05fdb2Ae3E8C9a0f054734"
"Moonwell cbETH","cbETH","20555200","20555200","base","0x3bf93770f2d4a794c3d9EBEfBAeBAE2a8f09A5E5"
"Hop USDC","USDC","317828","317828","optimism","0x3c0FFAca566fCcfD9Cc95139FEF6CBA143795963"
"EVK Vault eUSDC-11","USDC","1993","1993","mainnet","0x41722452C0348501825C494ec6C1579e9c32D277"
"Gearbox ETH v3","WETH","7218695","7218695","optimism","0x42dB77B3103c71059F4b997d6441cFB299FD0d94"
"EVK Vault eUSDC-10","USDC","1004","1004","mainnet","0x430eb890CFf3B68A6146943c27689e81113FA1df"
"Yearn-Ajna Pool apxETH/WETH Vault","WETH","87715","87715","mainnet","0x437D41B2EBEF15a91618f4Bf010Fa4751bb48Be6"
"WETH-Ajna Router","WETH","22635","22635","mainnet","0x43CCaD774B20de2cf920531529a7b7cc5a23F887"
"Metronome msETH Vault","msETH","4915365","4915365","base","0x43Cd00De63485618A5CEEBE0de364cD6cBeB26E7"
"Dream vault StakeWise V3","ETH","9496850","9496850","mainnet","0x4425Bb38D4CA95e522F9308175eC7D8188E8284e"
"Gauntlet WBTC Core","WBTC","38096970","38096970","mainnet","0x443df5eEE3196e9b2Dd77CaBd3eA76C3dee8f9b2"
"Fluid Wrapped Ether","WETH","518377","518377","arbitrum","0x45Df0656F8aDf017590009d2f1898eeca4F0a205"
"Compound v3 WETH","WETH","14780151","14780151","base","0x46e6b214b524310239732D51387075E0e70970bf"
"StakeKit StakeWise V3","ETH","28685","28685","mainnet","0x475064D69bE1933C3EC0301A7397b0a667993f95"
"ajna-yvusdca-usdc","USDC","2477","2477","polygon","0x479974977BdFf289a4157f56EE29401523Ae4c0F"
"Sun and Moon Collection StakeWise V3","ETH","991062","991062","mainnet","0x481AfcD21A3447a7a04c4aFd968Df877b76d2310"
"Gauntlet LRT Core","WETH","80993237","80993237","mainnet","0x4881Ef0BF6d2365D3dd6499ccd7532bcdBCE0658"
"Seamless WETH","WETH","5521982","5521982","base","0x48bf8fCd44e2977c8a9A744658431A8e6C0d866c"
"Fluid Tether USD","USDT","6182186","6182186","arbitrum","0x4A03F37e7d3fC243e3f99341d36f4b829BEe5E03"
"Spark DAI","DAI","1505250073","1505250073","mainnet","0x4DEDf26112B3Ec8eC46e7E31EA5e123490B05B8B"
"Compound v2 ETH","ETH","205226524","205226524","mainnet","0x4Ddc2D193948926D02f9B1fE9e1daa0718270ED5"
"Sturdy ETH/Sommelier Real Yield ETH silo","WETH","1792","1792","mainnet","0x4E72fCB2517eD90A3976DD8f50A387811Ac4d883"
"f(x) Protocol Morpho USDC","USDC","875891","875891","mainnet","0x4F460bb11cf958606C69A963B4A17f9DaEEea8b6"
"0x4FEF StakeWise V3","ETH","53205690","53205690","mainnet","0x4FEF9D741011476750A243aC70b9789a63dd47Df"
"SwissBorg Morpho USDC","USDC","7037809","7037809","mainnet","0x4Ff4186188f8406917293A9e01A1ca16d3cf9E59"
"Notional Prime ETH","WETH","5481194","5481194","mainnet","0x4a9e282635567cC4D3C6a24E16C2335f10Dee9B8"
"AaveV3 USDT Lender","USDT","6095","6095","arbitrum","0x4aE5CE819e7D678b07E8D0f483d351E2c8e8B8D3"
"Prime tBTC v2","tBTC","6624","6624","mainnet","0x4c64083C62581531D28BCD25f8fb978A54875A98"
"Stargate USDbC","USDbC","2340469","2340469","base","0x4c80E24119CFB836cdF0a6b53dc23F04F7e652CA"
"LeadBlock USDC RWA","USDC","623917","623917","mainnet","0x4cA0E178c94f039d7F202E09d8d1a655Ed3fb6b6"
"Gearbox GHO v3","GHO","1135859","1135859","mainnet","0x4d56c9cBa373AD39dF69Eb18F076b7348000AE09"
"Aave v3 WETH","WETH","5306707966","5306707966","mainnet","0x4d5F47FA6A74757f35C14fD3a6Ef8E3C9BC514E8"
"Solo Staker StakeWise V3","ETH","218938","218938","mainnet","0x4e0A83509f5D0EF2e55B6F08dbF2462b72BcD30a"
"Aave v3 USDC","USDC","124639696","124639696","base","0x4e65fE4DbA92790696d040ac24Aa414708F5c0AB"
"Notional Prime USDT","USDT","377595","377595","mainnet","0x4ebFc11Ad2Dd1c2A450ba194558D797ee5D305a6"
"Gauntlet DAI Core","DAI","31805660","31805660","mainnet","0x500331c9fF24D9d11aee6B07734Aa72343EA74a5"
"Sturdy USDC/USD0++ silo","USDC","117831","117831","mainnet","0x501BBBeF60c407b36Ea6B87aF4964559C5229b11"
"Yearn-Ajna WETH Vault","WETH","1440136","1440136","mainnet","0x503e0BaB6acDAE73eA7fb7cf6Ae5792014dbe935"
